Series Name,"Series Code","Country Name","Country Code","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Trade (% of GDP),"NE.TRD.GNFS.ZS","Germany","DEU","53.3658496319459","61.5260610026125","62.0628388890423","60.9348898149328","61.8493197140493","66.2261991054223","70.9187129366213","77.4497291495463","79.8744173951311","81.5248047312183","71.2287128996251","79.8686242395882","85.2061212670221","86.5140548790483","85.0788766962491","84.6200933924979","86.1351387921731","84.6831626304202","87.6933981306568","88.670840845959","88.0986606350121","NA"
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 10/15/2020,"","","","","","","","","","","","","","","","","","","","","","","","",""
