Series Name,"Series Code","Country Name","Country Code","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Net domestic credit (current LCU),"FM.AST.DOMS.CN","Germany","DEU","NA","NA","3042346000000","3051024000000","3043280000000","3046404000000","3050903000000","3048084000000","3027943000000","3132568000000","3160254000000","4251876000000","4378156000000","4328398000000","3868736000000","4098243000000","4088934000000","4205555000000","4196227000000","4262424000000","4657240000000","NA"
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 10/15/2020,"","","","","","","","","","","","","","","","","","","","","","","","",""
