Series Name,Series Code,Country Name,Country Code,1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Germany,DEU,192168326985.666,193092584367.632,207284521373.655,271911130012.629,326101973997.56,358219709688.17,378504982427.942,457349935952.883,443595473504.173,473854706207.23,420758840327.352,467017530589.208,569038991724.86,570763395888.29,560676223536.412,592158590309.007,591028023166.008,599192161993.241,619472567529.327,677921541867.912,821570539407.486,1005137492229.84,1082219937640.7,1242373582882.34,1485139726422.87,1642854037600.95,1301336391468.4,1443337924604.33,1686062777954.46,1629432505631.4,1699810251831.03,1773618260202.99,1575246787584.94,1598254939909.91,1739094450009.2,1877497387261.59,1810926248597.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
