Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Gross savings (% of GDP),NY.GNS.ICTR.ZS,Germany,DEU,22.6653715263615,22.5394838107075,22.6332680909175,21.7933068260742,24.3185148951655,24.130445346712,26.3372994576777,28.2657401425909,27.1433064726583,24.3911878088375,25.7748487282492,27.8209076559114,26.8003445580955,26.5819461109799,27.5836540334996,28.4568682602731,28.4852761356688,28.4039714815956,28.7121467614387,28.5224178723258,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
