Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,Germany,DEU,4659840536.63791,-2880447378.10814,-3964977928.86177,7040955192.3926,-186180959.74026,-2993023965.52934,-1714537854.91984,-2314920943.30257,-1216764111.4003,-2597448679.90669,1615143089.17749,604272505.83739,-608749373.39019,-823927008.346131,4039414438.48145,-18714642.8323226,2354084981.82936,-3534522529.01098,759075978.012831,-339186244.209955,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
