Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Spain,ESP,15.9289999008179,17.701000213623,22.1609992980957,24.2089996337891,22.6749992370605,22.1420001983643,20.6979999542236,18.673999786377,15.4759998321533,13.7849998474121,10.3479995727539,11.1459999084473,11.2829999923706,11.0900001525879,9.14599990844727,8.45199966430664,8.23200035095215,11.253999710083,17.8570003509521,19.8600006103516,21.3899993896484,24.7870006561279,26.0939998626709,24.4409999847412,22.056999206543,19.6350002288818,17.2240009307861,15.2550001144409,13.9589996337891,13.0150003433228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
