Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Germany,DEU,-5224960509.1459,-5468022415.326,-1981565342.11107,-688087810.479286,-1810147204.37371,-2601720492.50226,-3653862321.56568,1234171687.86977,2733805365.47713,12350173722.4709,2134345644.69928,3917705195.99914,1699737999.84466,1155710414.2495,-3296664894.61901,-2421942262.76258,1896844161.01115,-1482727059.39356,455228507.513868,-594219616.022363,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
