Series Name,"Series Code","Country Name","Country Code","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
GDP (current LCU),"NY.GDP.MKTP.CN","Germany","DEU","2059480000000","2109090000000","2172540000000","2198120000000","2211570000000","2262520000000","2288310000000","2385080000000","2499550000000","2546490000000","2445730000000","2564400000000","2693560000000","2745310000000","2811350000000","2927430000000","3030070000000","3134100000000","3244990000000","3344370000000","3435210000000","NA"
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 10/15/2020,"","","","","","","","","","","","","","","","","","","","","","","","",""
