Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Importaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BM.GSR.GNFS.CD,Alemania,DEU,595331405213.263,587784720830.833,589512707039.43,726868558414.755,858964186247.079,933452152898.672,1079887290238.2,1253008779595.75,1413350511853.31,1128569432728.91,1263115070306.35,1501323988015.75,1412443040342.03,1481230369614.31,1515877249009.14,1320209272501.25,1341850736395.3,1481481521241.62,1632280558102.6,1587677965792.75,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from Database: Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
