Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
GDP (current US$),"NY.GDP.MKTP.CD","Portugal","PRT","78713860216.5659","89233599278.4792","107592098307.098","95009751901.2592","99688641304.3478","118122007430.012","122630089680.27","117016535162.95","123946327916.296","127427343916.471","118310710337.203","121498889485.459","134156091661.961","164862142212.19","189034502110.752","197180330804.626","208581694893.991","240190803449.22","262344779551.78","243701635176.438","237880908317.652","244797226567.109","216236608773.976","226369502104.236","229596170846.995","199313894327.486","206286022781.894","221357874718.93","242313116577.967","238785085030.988"
GDP (current US$),"NY.GDP.MKTP.CD","Romania","ROU","38995454545.4545","28998684210.5263","25121666666.6667","26362894736.8421","30074440483.3837","37435317265.1254","36937074278.3004","35574916294.6429","41694118972.5101","35952781582.2083","37253259016.9976","40394824679.1232","46066101951.2933","57806506024.0964","74972669056.5922","98452791982.7024","122022997508.01","174585202805.233","214313628965.024","174103695930.213","166309355234.589","183326740143.016","170635805316.879","190801346194.297","199959363430.073","177729210874.504","188128818486.401","211695422578.655","241457403085.042","250077444017.084"
GDP (current US$),"NY.GDP.MKTP.CD","Spain","ESP","536558591250.408","577166174539.632","630916018202.503","525075636030.854","530562634455.347","614609020549.773","642588992512.807","590077272727.273","619214834614.099","634693160025.57","596877648793.072","627286800894.855","705394315829.098","905492099322.799","1067093369754.16","1153285660987.44","1259343871534.31","1472131125102.66","1625224842536.99","1485583495415.39","1420722034063","1478772824224.03","1324820091194.67","1354757433212.72","1369398844599.58","1195119269971.52","1232076017361.53","1312539279462.36","1422153839840.78","1393490524517.64"
GDP (current US$),"NY.GDP.MKTP.CD","Slovenia","SVN","18198199152.5424","13263686956.5217","13101055424.5283","13258920634.9206","15049620465.1163","21352224019.4096","21507232648.7252","20763101740.6963","22146231967.6861","22711384311.1404","20289627636.6767","20876309970.385","23489890274.3142","29634713641.0968","34414784504.2352","36206395970.6504","39481045038.2637","48006372844.2376","55552509154.8264","50368056404.5568","48161250405.2468","51516366654.8197","46580457470.2769","48401896808.3064","49930685013.4603","43090173394.6913","44736333522.4522","48586603447.6954","54161636034.6517","54174227308.8862"
GDP (current US$),"NY.GDP.MKTP.CD","Sweden","SWE","261846194498.885","274229034311.699","284321115594.629","212953336588.123","229033566614.826","267305875261.099","291743811512.079","268146144677.73","270809066780.714","274072182416.731","262835454366.855","242395852494.409","266849061835.659","334337212322.076","385118044877.465","392218088878.779","423093437423.762","491252589217.021","517706149201.196","436537014293.554","495812558843.31","574094112972.733","552483727282.802","586841821796.891","581964017237.095","505103781349.757","515654671469.547","541018749769.097","555455371487.089","530883869004.977"
GDP (current US$),"NY.GDP.MKTP.CD","Switzerland","CHE","258066552692.197","261113787308.229","271814367088.608","264353008256.632","292646657892.813","342617007188.161","330091688511.327","286519135258.044","295045151745.068","289912492344.561","272055499763.145","278631271628.348","301416809957.654","352914820672.756","394163688781.665","408689354320.591","430921192375.179","479913033988.67","554363487212.63","541506500321.662","583782978345.834","699579638413.011","668043613696.287","688504173431.454","709182559935.301","679832292004.984","671309197478.183","679950481622.843","705140620046.7","703082435158.864"
GDP (current US$),"NY.GDP.MKTP.CD","Ukraine","UKR","81456918678.5008","77464561149.5103","73942235330.437","65648559903.0571","52549555149.1978","48213868178.0873","44558077827.135","50150399791.647","41883241471.7365","31580639045.454","31261527363.144","37972301334.6736","42351593887.2827","50084197498.4529","64819702951.6826","86057915585.3026","107647920792.079","142579603960.396","179816790704.739","117113410001.027","136013155905.036","163159671670.265","175781379051.433","183310146378.081","133503411375.739","91030959454.6961","93355993628.5042","112190355158.178","130901858421.72","153781069118.148"
GDP (current US$),"NY.GDP.MKTP.CD","United Kingdom","GBR","1093169389204.55","1142797178130.51","1179659529659.53","1061388722255.55","1140489745944.29","1341584345905","1415358814352.57","1559078258022.27","1650172242464.39","1682399288141.08","1657816613708.58","1640246149417.01","1784473920863.31","2053018775510.2","2416931526913.22","2538680000000","2713749770009.2","3100882352941.18","2922667279411.76","2410909799034.12","2475244321361.11","2659310054646.23","2704887678386.72","2786022872706.81","3063803240208.01","2928591002002.51","2694283209613.29","2666229179958.01","2860667727551.97","2829108219165.8"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 12/16/2020,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
