Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Germany,DEU,-40349990002.6379,978949113.636211,9566981856.63024,54866847627.8503,138642130944.806,120408012952.85,196774657010.787,253350700964.826,179790818739.191,184648762253.237,123742424000.722,167810721604.207,194154810684.904,300817608470.803,318065564117.617,259450485246.314,288739678032.095,319882004547.589,281097624466.786,229567538326.407,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
