Series Name,"Series Code","Country Name","Country Code","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Net foreign assets (current LCU),"FM.AST.NFRG.CN","Germany","DEU","NA","NA","265798799429.22","405595721864.39","527095282660.6","685095215692.06","906728848240.13","1157017600088.35","1448236367607.71","1562215032989.8","1511299435641.33","1454108187337.99","1624030166650.32","1647238417058.35","1603079051198.31","1681632269975.78","1686751791104.02","1666811573884.91","1644852041571.09","1731079714462.02","1834272423675.32","NA"
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 10/15/2020,"","","","","","","","","","","","","","","","","","","","","","","","",""
