Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Germany,DEU,-33903966248.2891,-7099486034.16703,39720517927.6968,35985324846.9413,127505924403.463,133087243134.908,173486477217.384,235777197044.803,213250033110.589,201134895341.825,196171903151.515,231971688209.185,251550848619.467,245384297278.942,278660794166.597,288620732320.068,295080042315.381,287217746215.905,293188073981.209,273136989476.38,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,
