"TIME","CURRENCY","UNIT","STATINFO","Value","Flag and Footnotes"
"1999M01","Bulgarian lev","National currency","Average","1.9558",""
"1999M01","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M01","Czech koruna","National currency","Average","35.741",""
"1999M01","Czech koruna","National currency","Value at the end of the period","36.827",""
"1999M01","Danish krone","National currency","Average","7.4412",""
"1999M01","Danish krone","National currency","Value at the end of the period","7.4359",""
"1999M01","Croatian kuna","National currency","Average","7.32210",""
"1999M01","Croatian kuna","National currency","Value at the end of the period","7.32670",""
"1999M01","Hungarian forint","National currency","Average","250.79",""
"1999M01","Hungarian forint","National currency","Value at the end of the period","249.24",""
"1999M01","Polish zloty","National currency","Average","4.1047",""
"1999M01","Polish zloty","National currency","Value at the end of the period","4.1610",""
"1999M01","Romanian leu","National currency","Average","1.3194",""
"1999M01","Romanian leu","National currency","Value at the end of the period","1.3280",""
"1999M01","Swedish krona","National currency","Average","9.0826",""
"1999M01","Swedish krona","National currency","Value at the end of the period","8.8800",""
"1999M01","Pound sterling","National currency","Average","0.70291",""
"1999M01","Pound sterling","National currency","Value at the end of the period","0.69100",""
"1999M01","Swiss franc","National currency","Average","1.6055",""
"1999M01","Swiss franc","National currency","Value at the end of the period","1.6123",""
"1999M01","Icelandic krona","National currency","Average","80.62",""
"1999M01","Icelandic krona","National currency","Value at the end of the period","79.59",""
"1999M01","Norwegian krone","National currency","Average","8.6512",""
"1999M01","Norwegian krone","National currency","Value at the end of the period","8.5785",""
"1999M01","Albanian lek","National currency","Average","162.19",""
"1999M01","Albanian lek","National currency","Value at the end of the period","158.58",""
"1999M01","Denar (of North Macedonia)","National currency","Average","60.6013",""
"1999M01","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6030",""
"1999M01","Serbian dinar","National currency","Average","11.7350",""
"1999M01","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M01","Turkish lira","National currency","Average","0.3765",""
"1999M01","Turkish lira","National currency","Value at the end of the period","0.3779",""
"1999M01","Argentine peso","National currency","Average",":",""
"1999M01","Argentine peso","National currency","Value at the end of the period",":",""
"1999M01","Australian dollar","National currency","Average","1.8387",""
"1999M01","Australian dollar","National currency","Value at the end of the period","1.8087",""
"1999M01","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M01","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M01","Brazilian real","National currency","Average",":",""
"1999M01","Brazilian real","National currency","Value at the end of the period",":",""
"1999M01","Canadian dollar","National currency","Average","1.7646",""
"1999M01","Canadian dollar","National currency","Value at the end of the period","1.7260",""
"1999M01","Chinese renminbi-yuan","National currency","Average",":",""
"1999M01","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M01","Hong Kong dollar","National currency","Average","8.9942",""
"1999M01","Hong Kong dollar","National currency","Value at the end of the period","8.8192",""
"1999M01","Indonesian rupiah","National currency","Average","9,919.98",""
"1999M01","Indonesian rupiah","National currency","Value at the end of the period","10,158.00",""
"1999M01","Israeli shekel","National currency","Average",":",""
"1999M01","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M01","Indian rupee","National currency","Average",":",""
"1999M01","Indian rupee","National currency","Value at the end of the period",":",""
"1999M01","Japanese yen","National currency","Average","131.35",""
"1999M01","Japanese yen","National currency","Value at the end of the period","132.10",""
"1999M01","South Korean won","National currency","Average","1,362.41",""
"1999M01","South Korean won","National currency","Value at the end of the period","1,337.33",""
"1999M01","Mexican peso","National currency","Average","11.8243",""
"1999M01","Mexican peso","National currency","Value at the end of the period","11.6205",""
"1999M01","Malaysian ringgit","National currency","Average","4.4094",""
"1999M01","Malaysian ringgit","National currency","Value at the end of the period","4.3249",""
"1999M01","New Zealand dollar","National currency","Average","2.1588",""
"1999M01","New Zealand dollar","National currency","Value at the end of the period","2.1107",""
"1999M01","Philippine peso","National currency","Average","44.524",""
"1999M01","Philippine peso","National currency","Value at the end of the period","43.819",""
"1999M01","Russian rouble","National currency","Average","26.6898",""
"1999M01","Russian rouble","National currency","Value at the end of the period","26.3482",""
"1999M01","Singapore dollar","National currency","Average","1.9496",""
"1999M01","Singapore dollar","National currency","Value at the end of the period","1.9233",""
"1999M01","Thai baht","National currency","Average","42.4970",""
"1999M01","Thai baht","National currency","Value at the end of the period","42.0319",""
"1999M01","New Taiwan dollar","National currency","Average","37.4300",""
"1999M01","New Taiwan dollar","National currency","Value at the end of the period","37.4300",""
"1999M01","US dollar","National currency","Average","1.1608",""
"1999M01","US dollar","National currency","Value at the end of the period","1.1384",""
"1999M01","South African rand","National currency","Average","6.9572",""
"1999M01","South African rand","National currency","Value at the end of the period","6.8804",""
"1999M02","Bulgarian lev","National currency","Average","1.9558",""
"1999M02","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M02","Czech koruna","National currency","Average","37.800",""
"1999M02","Czech koruna","National currency","Value at the end of the period","37.908",""
"1999M02","Danish krone","National currency","Average","7.4352",""
"1999M02","Danish krone","National currency","Value at the end of the period","7.4344",""
"1999M02","Croatian kuna","National currency","Average","7.45992",""
"1999M02","Croatian kuna","National currency","Value at the end of the period","7.53550",""
"1999M02","Hungarian forint","National currency","Average","250.30",""
"1999M02","Hungarian forint","National currency","Value at the end of the period","253.91",""
"1999M02","Polish zloty","National currency","Average","4.2483",""
"1999M02","Polish zloty","National currency","Value at the end of the period","4.3482",""
"1999M02","Romanian leu","National currency","Average","1.3774",""
"1999M02","Romanian leu","National currency","Value at the end of the period","1.4075",""
"1999M02","Swedish krona","National currency","Average","8.9077",""
"1999M02","Swedish krona","National currency","Value at the end of the period","9.0025",""
"1999M02","Pound sterling","National currency","Average","0.68851",""
"1999M02","Pound sterling","National currency","Value at the end of the period","0.68730",""
"1999M02","Swiss franc","National currency","Average","1.5978",""
"1999M02","Swiss franc","National currency","Value at the end of the period","1.5890",""
"1999M02","Icelandic krona","National currency","Average","79.59",""
"1999M02","Icelandic krona","National currency","Value at the end of the period","79.55",""
"1999M02","Norwegian krone","National currency","Average","8.6497",""
"1999M02","Norwegian krone","National currency","Value at the end of the period","8.6965",""
"1999M02","Albanian lek","National currency","Average","157.38",""
"1999M02","Albanian lek","National currency","Value at the end of the period","154.99",""
"1999M02","Denar (of North Macedonia)","National currency","Average","60.6143",""
"1999M02","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6078",""
"1999M02","Serbian dinar","National currency","Average","11.7350",""
"1999M02","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M02","Turkish lira","National currency","Average","0.3850",""
"1999M02","Turkish lira","National currency","Value at the end of the period","0.3881",""
"1999M02","Argentine peso","National currency","Average",":",""
"1999M02","Argentine peso","National currency","Value at the end of the period",":",""
"1999M02","Australian dollar","National currency","Average","1.7515",""
"1999M02","Australian dollar","National currency","Value at the end of the period","1.7819",""
"1999M02","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M02","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M02","Brazilian real","National currency","Average",":",""
"1999M02","Brazilian real","National currency","Value at the end of the period",":",""
"1999M02","Canadian dollar","National currency","Average","1.6786",""
"1999M02","Canadian dollar","National currency","Value at the end of the period","1.6684",""
"1999M02","Chinese renminbi-yuan","National currency","Average",":",""
"1999M02","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M02","Hong Kong dollar","National currency","Average","8.6847",""
"1999M02","Hong Kong dollar","National currency","Value at the end of the period","8.5382",""
"1999M02","Indonesian rupiah","National currency","Average","9,818.14",""
"1999M02","Indonesian rupiah","National currency","Value at the end of the period","9,726.93",""
"1999M02","Israeli shekel","National currency","Average",":",""
"1999M02","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M02","Indian rupee","National currency","Average",":",""
"1999M02","Indian rupee","National currency","Value at the end of the period",":",""
"1999M02","Japanese yen","National currency","Average","130.78",""
"1999M02","Japanese yen","National currency","Value at the end of the period","131.33",""
"1999M02","South Korean won","National currency","Average","1,330.19",""
"1999M02","South Korean won","National currency","Value at the end of the period","1,348.55",""
"1999M02","Mexican peso","National currency","Average","11.2125",""
"1999M02","Mexican peso","National currency","Value at the end of the period","10.9870",""
"1999M02","Malaysian ringgit","National currency","Average","4.2577",""
"1999M02","Malaysian ringgit","National currency","Value at the end of the period","4.1876",""
"1999M02","New Zealand dollar","National currency","Average","2.0623",""
"1999M02","New Zealand dollar","National currency","Value at the end of the period","2.1071",""
"1999M02","Philippine peso","National currency","Average","43.511",""
"1999M02","Philippine peso","National currency","Value at the end of the period","42.923",""
"1999M02","Russian rouble","National currency","Average","25.8981",""
"1999M02","Russian rouble","National currency","Value at the end of the period","25.4829",""
"1999M02","Singapore dollar","National currency","Average","1.9051",""
"1999M02","Singapore dollar","National currency","Value at the end of the period","1.8965",""
"1999M02","Thai baht","National currency","Average","41.5429",""
"1999M02","Thai baht","National currency","Value at the end of the period","41.1286",""
"1999M02","New Taiwan dollar","National currency","Average","36.4100",""
"1999M02","New Taiwan dollar","National currency","Value at the end of the period","36.4100",""
"1999M02","US dollar","National currency","Average","1.1208",""
"1999M02","US dollar","National currency","Value at the end of the period","1.1018",""
"1999M02","South African rand","National currency","Average","6.8515",""
"1999M02","South African rand","National currency","Value at the end of the period","6.8064",""
"1999M03","Bulgarian lev","National currency","Average","1.9558",""
"1999M03","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M03","Czech koruna","National currency","Average","37.993",""
"1999M03","Czech koruna","National currency","Value at the end of the period","38.393",""
"1999M03","Danish krone","National currency","Average","7.4325",""
"1999M03","Danish krone","National currency","Value at the end of the period","7.4317",""
"1999M03","Croatian kuna","National currency","Average","7.58923",""
"1999M03","Croatian kuna","National currency","Value at the end of the period","7.66190",""
"1999M03","Hungarian forint","National currency","Average","253.64",""
"1999M03","Hungarian forint","National currency","Value at the end of the period","254.82",""
"1999M03","Polish zloty","National currency","Average","4.2962",""
"1999M03","Polish zloty","National currency","Value at the end of the period","4.2947",""
"1999M03","Romanian leu","National currency","Average","1.5504",""
"1999M03","Romanian leu","National currency","Value at the end of the period","1.6059",""
"1999M03","Swedish krona","National currency","Average","8.9403",""
"1999M03","Swedish krona","National currency","Value at the end of the period","8.8870",""
"1999M03","Pound sterling","National currency","Average","0.67127",""
"1999M03","Pound sterling","National currency","Value at the end of the period","0.66630",""
"1999M03","Swiss franc","National currency","Average","1.5954",""
"1999M03","Swiss franc","National currency","Value at the end of the period","1.5981",""
"1999M03","Icelandic krona","National currency","Average","78.57",""
"1999M03","Icelandic krona","National currency","Value at the end of the period","78.10",""
"1999M03","Norwegian krone","National currency","Average","8.5065",""
"1999M03","Norwegian krone","National currency","Value at the end of the period","8.3475",""
"1999M03","Albanian lek","National currency","Average","154.91",""
"1999M03","Albanian lek","National currency","Value at the end of the period","158.83",""
"1999M03","Denar (of North Macedonia)","National currency","Average","60.6105",""
"1999M03","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6131",""
"1999M03","Serbian dinar","National currency","Average","11.7350",""
"1999M03","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M03","Turkish lira","National currency","Average","0.3958",""
"1999M03","Turkish lira","National currency","Value at the end of the period","0.4008",""
"1999M03","Argentine peso","National currency","Average",":",""
"1999M03","Argentine peso","National currency","Value at the end of the period",":",""
"1999M03","Australian dollar","National currency","Average","1.7260",""
"1999M03","Australian dollar","National currency","Value at the end of the period","1.7060",""
"1999M03","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M03","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M03","Brazilian real","National currency","Average",":",""
"1999M03","Brazilian real","National currency","Value at the end of the period",":",""
"1999M03","Canadian dollar","National currency","Average","1.6510",""
"1999M03","Canadian dollar","National currency","Value at the end of the period","1.6211",""
"1999M03","Chinese renminbi-yuan","National currency","Average",":",""
"1999M03","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M03","Hong Kong dollar","National currency","Average","8.4322",""
"1999M03","Hong Kong dollar","National currency","Value at the end of the period","8.3226",""
"1999M03","Indonesian rupiah","National currency","Average","9,698.82",""
"1999M03","Indonesian rupiah","National currency","Value at the end of the period","9,344.25",""
"1999M03","Israeli shekel","National currency","Average",":",""
"1999M03","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M03","Indian rupee","National currency","Average",":",""
"1999M03","Indian rupee","National currency","Value at the end of the period",":",""
"1999M03","Japanese yen","National currency","Average","130.20",""
"1999M03","Japanese yen","National currency","Value at the end of the period","127.81",""
"1999M03","South Korean won","National currency","Average","1,336.19",""
"1999M03","South Korean won","National currency","Value at the end of the period","1,317.86",""
"1999M03","Mexican peso","National currency","Average","10.5952",""
"1999M03","Mexican peso","National currency","Value at the end of the period","10.2562",""
"1999M03","Malaysian ringgit","National currency","Average","4.1343",""
"1999M03","Malaysian ringgit","National currency","Value at the end of the period","4.0814",""
"1999M03","New Zealand dollar","National currency","Average","2.0451",""
"1999M03","New Zealand dollar","National currency","Value at the end of the period","2.0243",""
"1999M03","Philippine peso","National currency","Average","42.323",""
"1999M03","Philippine peso","National currency","Value at the end of the period","41.647",""
"1999M03","Russian rouble","National currency","Average","26.3315",""
"1999M03","Russian rouble","National currency","Value at the end of the period","26.8834",""
"1999M03","Singapore dollar","National currency","Average","1.8813",""
"1999M03","Singapore dollar","National currency","Value at the end of the period","1.8544",""
"1999M03","Thai baht","National currency","Average","40.7841",""
"1999M03","Thai baht","National currency","Value at the end of the period","40.3843",""
"1999M03","New Taiwan dollar","National currency","Average","36.0400",""
"1999M03","New Taiwan dollar","National currency","Value at the end of the period","36.0400",""
"1999M03","US dollar","National currency","Average","1.0883",""
"1999M03","US dollar","National currency","Value at the end of the period","1.0742",""
"1999M03","South African rand","National currency","Average","6.7542",""
"1999M03","South African rand","National currency","Value at the end of the period","6.6493",""
"1999M04","Bulgarian lev","National currency","Average","1.9558",""
"1999M04","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M04","Czech koruna","National currency","Average","37.982",""
"1999M04","Czech koruna","National currency","Value at the end of the period","37.643",""
"1999M04","Danish krone","National currency","Average","7.4327",""
"1999M04","Danish krone","National currency","Value at the end of the period","7.4323",""
"1999M04","Croatian kuna","National currency","Average","7.58814",""
"1999M04","Croatian kuna","National currency","Value at the end of the period","7.56250",""
"1999M04","Hungarian forint","National currency","Average","252.37",""
"1999M04","Hungarian forint","National currency","Value at the end of the period","250.52",""
"1999M04","Polish zloty","National currency","Average","4.2796",""
"1999M04","Polish zloty","National currency","Value at the end of the period","4.1883",""
"1999M04","Romanian leu","National currency","Average","1.5816",""
"1999M04","Romanian leu","National currency","Value at the end of the period","1.5832",""
"1999M04","Swedish krona","National currency","Average","8.9140",""
"1999M04","Swedish krona","National currency","Value at the end of the period","8.9075",""
"1999M04","Pound sterling","National currency","Average","0.66502",""
"1999M04","Pound sterling","National currency","Value at the end of the period","0.65710",""
"1999M04","Swiss franc","National currency","Average","1.6015",""
"1999M04","Swiss franc","National currency","Value at the end of the period","1.6113",""
"1999M04","Icelandic krona","National currency","Average","78.24",""
"1999M04","Icelandic krona","National currency","Value at the end of the period","77.93",""
"1999M04","Norwegian krone","National currency","Average","8.3186",""
"1999M04","Norwegian krone","National currency","Value at the end of the period","8.2515",""
"1999M04","Albanian lek","National currency","Average","154.88",""
"1999M04","Albanian lek","National currency","Value at the end of the period","152.53",""
"1999M04","Denar (of North Macedonia)","National currency","Average","60.6162",""
"1999M04","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6195",""
"1999M04","Serbian dinar","National currency","Average","11.7350",""
"1999M04","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M04","Turkish lira","National currency","Average","0.4087",""
"1999M04","Turkish lira","National currency","Value at the end of the period","0.4135",""
"1999M04","Argentine peso","National currency","Average",":",""
"1999M04","Argentine peso","National currency","Value at the end of the period",":",""
"1999M04","Australian dollar","National currency","Average","1.6684",""
"1999M04","Australian dollar","National currency","Value at the end of the period","1.6078",""
"1999M04","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M04","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M04","Brazilian real","National currency","Average",":",""
"1999M04","Brazilian real","National currency","Value at the end of the period",":",""
"1999M04","Canadian dollar","National currency","Average","1.5944",""
"1999M04","Canadian dollar","National currency","Value at the end of the period","1.5519",""
"1999M04","Chinese renminbi-yuan","National currency","Average",":",""
"1999M04","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M04","Hong Kong dollar","National currency","Average","8.2964",""
"1999M04","Hong Kong dollar","National currency","Value at the end of the period","8.2125",""
"1999M04","Indonesian rupiah","National currency","Average","9,229.62",""
"1999M04","Indonesian rupiah","National currency","Value at the end of the period","8,718.05",""
"1999M04","Israeli shekel","National currency","Average",":",""
"1999M04","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M04","Indian rupee","National currency","Average",":",""
"1999M04","Indian rupee","National currency","Value at the end of the period",":",""
"1999M04","Japanese yen","National currency","Average","128.16",""
"1999M04","Japanese yen","National currency","Value at the end of the period","126.90",""
"1999M04","South Korean won","National currency","Average","1,292.19",""
"1999M04","South Korean won","National currency","Value at the end of the period","1,258.45",""
"1999M04","Mexican peso","National currency","Average","10.0981",""
"1999M04","Mexican peso","National currency","Value at the end of the period","9.8322",""
"1999M04","Malaysian ringgit","National currency","Average","4.0680",""
"1999M04","Malaysian ringgit","National currency","Value at the end of the period","4.0262",""
"1999M04","New Zealand dollar","National currency","Average","1.9723",""
"1999M04","New Zealand dollar","National currency","Value at the end of the period","1.8962",""
"1999M04","Philippine peso","National currency","Average","40.954",""
"1999M04","Philippine peso","National currency","Value at the end of the period","40.266",""
"1999M04","Russian rouble","National currency","Average","27.2279",""
"1999M04","Russian rouble","National currency","Value at the end of the period","26.1118",""
"1999M04","Singapore dollar","National currency","Average","1.8344",""
"1999M04","Singapore dollar","National currency","Value at the end of the period","1.8017",""
"1999M04","Thai baht","National currency","Average","40.2767",""
"1999M04","Thai baht","National currency","Value at the end of the period","39.4060",""
"1999M04","New Taiwan dollar","National currency","Average","35.2200",""
"1999M04","New Taiwan dollar","National currency","Value at the end of the period","35.2200",""
"1999M04","US dollar","National currency","Average","1.0704",""
"1999M04","US dollar","National currency","Value at the end of the period","1.0597",""
"1999M04","South African rand","National currency","Average","6.5603",""
"1999M04","South African rand","National currency","Value at the end of the period","6.4682",""
"1999M05","Bulgarian lev","National currency","Average","1.9558",""
"1999M05","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M05","Czech koruna","National currency","Average","37.685",""
"1999M05","Czech koruna","National currency","Value at the end of the period","37.553",""
"1999M05","Danish krone","National currency","Average","7.4333",""
"1999M05","Danish krone","National currency","Value at the end of the period","7.4318",""
"1999M05","Croatian kuna","National currency","Average","7.58085",""
"1999M05","Croatian kuna","National currency","Value at the end of the period","7.59330",""
"1999M05","Hungarian forint","National currency","Average","250.21",""
"1999M05","Hungarian forint","National currency","Value at the end of the period","249.64",""
"1999M05","Polish zloty","National currency","Average","4.1805",""
"1999M05","Polish zloty","National currency","Value at the end of the period","4.1518",""
"1999M05","Romanian leu","National currency","Average","1.6205",""
"1999M05","Romanian leu","National currency","Value at the end of the period","1.6327",""
"1999M05","Swedish krona","National currency","Average","8.9722",""
"1999M05","Swedish krona","National currency","Value at the end of the period","8.9680",""
"1999M05","Pound sterling","National currency","Average","0.65825",""
"1999M05","Pound sterling","National currency","Value at the end of the period","0.65240",""
"1999M05","Swiss franc","National currency","Average","1.6025",""
"1999M05","Swiss franc","National currency","Value at the end of the period","1.5943",""
"1999M05","Icelandic krona","National currency","Average","78.43",""
"1999M05","Icelandic krona","National currency","Value at the end of the period","77.89",""
"1999M05","Norwegian krone","National currency","Average","8.2348",""
"1999M05","Norwegian krone","National currency","Value at the end of the period","8.2375",""
"1999M05","Albanian lek","National currency","Average","150.42",""
"1999M05","Albanian lek","National currency","Value at the end of the period","146.46",""
"1999M05","Denar (of North Macedonia)","National currency","Average","60.6308",""
"1999M05","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6372",""
"1999M05","Serbian dinar","National currency","Average","11.7350",""
"1999M05","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M05","Turkish lira","National currency","Average","0.4221",""
"1999M05","Turkish lira","National currency","Value at the end of the period","0.4250",""
"1999M05","Argentine peso","National currency","Average",":",""
"1999M05","Argentine peso","National currency","Value at the end of the period",":",""
"1999M05","Australian dollar","National currency","Average","1.6046",""
"1999M05","Australian dollar","National currency","Value at the end of the period","1.6074",""
"1999M05","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M05","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M05","Brazilian real","National currency","Average",":",""
"1999M05","Brazilian real","National currency","Value at the end of the period",":",""
"1999M05","Canadian dollar","National currency","Average","1.5527",""
"1999M05","Canadian dollar","National currency","Value at the end of the period","1.5411",""
"1999M05","Chinese renminbi-yuan","National currency","Average",":",""
"1999M05","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M05","Hong Kong dollar","National currency","Average","8.2391",""
"1999M05","Hong Kong dollar","National currency","Value at the end of the period","8.1078",""
"1999M05","Indonesian rupiah","National currency","Average","8,455.26",""
"1999M05","Indonesian rupiah","National currency","Value at the end of the period","8,468.58",""
"1999M05","Israeli shekel","National currency","Average",":",""
"1999M05","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M05","Indian rupee","National currency","Average",":",""
"1999M05","Indian rupee","National currency","Value at the end of the period",":",""
"1999M05","Japanese yen","National currency","Average","129.71",""
"1999M05","Japanese yen","National currency","Value at the end of the period","127.18",""
"1999M05","South Korean won","National currency","Average","1,272.05",""
"1999M05","South Korean won","National currency","Value at the end of the period","1,240.33",""
"1999M05","Mexican peso","National currency","Average","9.9712",""
"1999M05","Mexican peso","National currency","Value at the end of the period","10.1048",""
"1999M05","Malaysian ringgit","National currency","Average","4.0385",""
"1999M05","Malaysian ringgit","National currency","Value at the end of the period","3.9729",""
"1999M05","New Zealand dollar","National currency","Average","1.9249",""
"1999M05","New Zealand dollar","National currency","Value at the end of the period","1.9531",""
"1999M05","Philippine peso","National currency","Average","40.217",""
"1999M05","Philippine peso","National currency","Value at the end of the period","39.703",""
"1999M05","Russian rouble","National currency","Average","26.2592",""
"1999M05","Russian rouble","National currency","Value at the end of the period","25.8552",""
"1999M05","Singapore dollar","National currency","Average","1.8202",""
"1999M05","Singapore dollar","National currency","Value at the end of the period","1.8056",""
"1999M05","Thai baht","National currency","Average","39.3273",""
"1999M05","Thai baht","National currency","Value at the end of the period","38.7724",""
"1999M05","New Taiwan dollar","National currency","Average","34.8200",""
"1999M05","New Taiwan dollar","National currency","Value at the end of the period","34.8200",""
"1999M05","US dollar","National currency","Average","1.0628",""
"1999M05","US dollar","National currency","Value at the end of the period","1.0456",""
"1999M05","South African rand","National currency","Average","6.5718",""
"1999M05","South African rand","National currency","Value at the end of the period","6.4984",""
"1999M06","Bulgarian lev","National currency","Average","1.9558",""
"1999M06","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M06","Czech koruna","National currency","Average","37.094",""
"1999M06","Czech koruna","National currency","Value at the end of the period","36.418",""
"1999M06","Danish krone","National currency","Average","7.4314",""
"1999M06","Danish krone","National currency","Value at the end of the period","7.4341",""
"1999M06","Croatian kuna","National currency","Average","7.58848",""
"1999M06","Croatian kuna","National currency","Value at the end of the period","7.56650",""
"1999M06","Hungarian forint","National currency","Average","249.35",""
"1999M06","Hungarian forint","National currency","Value at the end of the period","249.64",""
"1999M06","Polish zloty","National currency","Average","4.0939",""
"1999M06","Polish zloty","National currency","Value at the end of the period","4.0580",""
"1999M06","Romanian leu","National currency","Average","1.6364",""
"1999M06","Romanian leu","National currency","Value at the end of the period","1.6388",""
"1999M06","Swedish krona","National currency","Average","8.8284",""
"1999M06","Swedish krona","National currency","Value at the end of the period","8.7470",""
"1999M06","Pound sterling","National currency","Average","0.65025",""
"1999M06","Pound sterling","National currency","Value at the end of the period","0.65630",""
"1999M06","Swiss franc","National currency","Average","1.5951",""
"1999M06","Swiss franc","National currency","Value at the end of the period","1.6034",""
"1999M06","Icelandic krona","National currency","Average","77.16",""
"1999M06","Icelandic krona","National currency","Value at the end of the period","77.03",""
"1999M06","Norwegian krone","National currency","Average","8.1676",""
"1999M06","Norwegian krone","National currency","Value at the end of the period","8.1045",""
"1999M06","Albanian lek","National currency","Average","142.57",""
"1999M06","Albanian lek","National currency","Value at the end of the period","141.40",""
"1999M06","Denar (of North Macedonia)","National currency","Average","60.6399",""
"1999M06","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6422",""
"1999M06","Serbian dinar","National currency","Average","11.7350",""
"1999M06","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M06","Turkish lira","National currency","Average","0.4303",""
"1999M06","Turkish lira","National currency","Value at the end of the period","0.4349",""
"1999M06","Argentine peso","National currency","Average",":",""
"1999M06","Argentine peso","National currency","Value at the end of the period",":",""
"1999M06","Australian dollar","National currency","Average","1.5805",""
"1999M06","Australian dollar","National currency","Value at the end of the period","1.5598",""
"1999M06","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M06","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M06","Brazilian real","National currency","Average",":",""
"1999M06","Brazilian real","National currency","Value at the end of the period",":",""
"1999M06","Canadian dollar","National currency","Average","1.5244",""
"1999M06","Canadian dollar","National currency","Value at the end of the period","1.5262",""
"1999M06","Chinese renminbi-yuan","National currency","Average",":",""
"1999M06","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M06","Hong Kong dollar","National currency","Average","8.0510",""
"1999M06","Hong Kong dollar","National currency","Value at the end of the period","8.0116",""
"1999M06","Indonesian rupiah","National currency","Average","7,631.36",""
"1999M06","Indonesian rupiah","National currency","Value at the end of the period","6,883.62",""
"1999M06","Israeli shekel","National currency","Average",":",""
"1999M06","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M06","Indian rupee","National currency","Average",":",""
"1999M06","Indian rupee","National currency","Value at the end of the period",":",""
"1999M06","Japanese yen","National currency","Average","125.32",""
"1999M06","Japanese yen","National currency","Value at the end of the period","124.82",""
"1999M06","South Korean won","National currency","Average","1,212.62",""
"1999M06","South Korean won","National currency","Value at the end of the period","1,195.47",""
"1999M06","Mexican peso","National currency","Average","9.8782",""
"1999M06","Mexican peso","National currency","Value at the end of the period","9.7374",""
"1999M06","Malaysian ringgit","National currency","Average","3.9438",""
"1999M06","Malaysian ringgit","National currency","Value at the end of the period","3.9239",""
"1999M06","New Zealand dollar","National currency","Average","1.9479",""
"1999M06","New Zealand dollar","National currency","Value at the end of the period","1.9404",""
"1999M06","Philippine peso","National currency","Average","39.324",""
"1999M06","Philippine peso","National currency","Value at the end of the period","39.239",""
"1999M06","Russian rouble","National currency","Average","25.3653",""
"1999M06","Russian rouble","National currency","Value at the end of the period","25.0558",""
"1999M06","Singapore dollar","National currency","Average","1.7755",""
"1999M06","Singapore dollar","National currency","Value at the end of the period","1.7558",""
"1999M06","Thai baht","National currency","Average","38.3099",""
"1999M06","Thai baht","National currency","Value at the end of the period","38.0639",""
"1999M06","New Taiwan dollar","National currency","Average","33.7000",""
"1999M06","New Taiwan dollar","National currency","Value at the end of the period","33.7000",""
"1999M06","US dollar","National currency","Average","1.0378",""
"1999M06","US dollar","National currency","Value at the end of the period","1.0328",""
"1999M06","South African rand","National currency","Average","6.3225",""
"1999M06","South African rand","National currency","Value at the end of the period","6.2621",""
"1999M07","Bulgarian lev","National currency","Average","1.9558",""
